document_name,domain,question,answer,modality,reasoning_type,page
Attention is all you need,NLP,Multi-Head Attention trong mô hình Transformer mang lại những lợi ích gì?,Multi head attention cho phép mô hình học thông tin từ nhiều không gian biểu diễn khác nhau.,text,summarization,4
Attention is all you need,NLP,Feed forward network trong Transformer có cấu trúc gì?,Feed forward network gồm hai phép biến đổi tuyến tính với activation ReLU ở giữa và được áp dụng độc lập cho từng vị trí.,text,fact_extraction,5
Attention is all you need,NLP,"Trong kiến trúc Transformer của bài báo Attention is all you need, kích thước lớp ẩn của feed forward network là bao nhiêu?",Kích thước lớp ẩn dff là 2048.,text,fact_extraction,5
Attention is all you need,NLP,"Trong bài báo Attention is all you need, positional encoding sử dụng hàm gì?","Positional encoding sử dụng hàm sine cho chiều 2i và cosine cho chiều 2i+1 với PE(pos,2i)=sin(pos/10000^(2i/dmodel)) và PE(pos,2i+1)=cos(pos/10000^(2i/dmodel))",image,fact_extraction,6
Attention is all you need,NLP,"Trong bài báo ""Attention is all you need"", kích thước từ vựng (vocabulary size) cho tác vụ dịch Anh-Đức là bao nhiêu?","English-to-German sử dụng shared source-target vocabulary khoảng 37,000 tokens.",text,fact_extraction,7
Attention is all you need,NLP,Kích thước từ vựng cho tác vụ dịch Anh-Pháp trong bài báo 'Attention is all you need' là bao nhiêu?,Vocabulary size là 32000 word piece tokens.,text,fact_extraction,7
Attention is all you need,NLP,"Trong bài báo ""Attention is all you need"", batch training chứa bao nhiêu tokens?",Mỗi batch chứa khoảng 25000 source tokens và 25000 target tokens.,text,fact_extraction,7
Attention is all you need,NLP,"Đối với mô hình Transformer trong bài báo Attention is all you need, optimizer nào được sử dụng và các tham số của nó là gì?","Mô hình sử dụng Adam với beta một bằng 0.9, beta hai bằng 0.98 và epsilon bằng mười mũ trừ chín.",image,fact_extraction,7
Attention is all you need,NLP,Số bước huấn luyện của base model trong bài báo 'Attention is all you need' là bao nhiêu?,Base model được huấn luyện trong 100000 bước.,text,fact_extraction,7
Attention is all you need,NLP,"Dropout rate của base model trong bài báo ""Attention is all you need"" là bao nhiêu?",Dropout rate là 0.1.,text,fact_extraction,7
Attention is all you need,NLP,"Đối với mô hình Transformer trong bài báo ""Attention is all you need"", label smoothing có giá trị bao nhiêu?",Label smoothing có giá trị epsilon bằng 0.1.,text,fact_extraction,8
Attention is all you need,NLP,Mô hình nào trong bảng 2 của bài báo 'Attention is all you need' có chi phí huấn luyện cao nhất trên tập English to French? Chi phí đó là bao nhiêu?,Mô hình ConvS2SEnsemble có giá trị cao nhất với 1.2 * 10^21 khi huấn luyện trên tập English to French.,table,comparative,8
Attention is all you need,NLP,"Theo bài báo Attention is all you need, mô hình ByteNet cao hơn MoE bao nhiêu trên thang điểm BLEU ở tập English-to-German?",Mô hình ByteNet cao hơn mô hình MoE 2.28 điểm BLEU trên tập EN-DE.,table,comparative,8
Attention is all you need,NLP,"Theo bài báo Attention is all you need, trên tập English-to-German, mô hình nào có chi phí huấn luyện cao nhì?","Mô hình ConvS2S Ensemble với 7.7 * 10^19, đứng sau GNMT + RL Ensemble với 1.8 * 10^20 .",table,comparative,9
Attention is all you need,NLP,"Trong bài báo 'Attention is all you need', khi giảm d_k từ 32 xuống 16, BLEU đã giảm bao nhiêu trên tập phát triển (development set)?","BLEU giảm 0.3, giảm từ 25.4 xuống 25.1 trên tập development.",table,comparative,9
Attention is all you need,NLP,"Ở transformer big, điểm BLEU trên tập development của English-to-German gấp bao nhiêu lần transformer base?",Điểm BLEU của transformer big hơn transformer base xấp xỉ 1.023 trên tập development của English-to-German,table,comparative,9
TD3,RL,Bài báo TD3 được công bố tại hội nghị nào?,Paper được công bố tại hội nghị International Conference on Machine Learning lần thứ 35.,text,fact_extraction,1
TD3,RL,Bài báo TD3 đánh giá thuật toán trên bao nhiêu môi trường continuous control?,Paper đánh giá trên 7 môi trường continuous control từ OpenAI Gym.,text,fact_extraction,2
TD3,RL,Các thí nghiệm của TD3 được chạy trong bao nhiêu bước thời gian?,Mỗi thí nghiệm được chạy trong 1000000 bước thời gian.,text,fact_extraction,7
TD3,RL,"Trong TD3, mỗi lần đánh giá sử dụng bao nhiêu episode?",Mỗi lần đánh giá sử dụng trung bình phần thưởng trên 10 episode.,text,fact_extraction,8
TD3,RL,Bao nhiêu seed ngẫu nhiên được sử dụng trong thí nghiệm của TD3?,Thí nghiệm sử dụng 10 seed ngẫu nhiên.,text,fact_extraction,8
TD3,RL,"Trong TD3, kích thước mini batch được sử dụng là bao nhiêu?",Mini batch gồm 100 transition được lấy mẫu từ replay buffer.,text,fact_extraction,7
TD3,RL,"Trong bài báo TD3, learning rate được sử dụng cho Adam optimizer là bao nhiêu?",Learning rate được sử dụng là 10 mũ trừ 3.,text,fact_extraction,7
TD3,RL,"Trong thuật toán TD3, độ lệch chuẩn của nhiễu (noise) trong target policy smoothing là bao nhiêu?",Độ lệch chuẩn của noise là 0.2.,text,fact_extraction,6
TD3,RL,"Theo bài báo TD3, nhiễu (noise) được thêm vào trong quá trình làm mịn chính sách mục tiêu (target policy smoothing) bị giới hạn trong khoảng nào?",Noise được clip trong khoảng từ -0.5 đến 0.5.,text,fact_extraction,6
TD3,RL,"Trong TD3, giá trị tau để cập nhật target network là bao nhiêu?",Giá trị tau được đặt là 0.005.,text,fact_extraction,7
TD3,RL,"Trong bảng, thuật toán TD3 đạt bao nhiêu điểm trên môi trường HalfCheetah?",Thuật toán TD3 đạt giá trị 9636.95.,text,fact_extraction,7
TD3,RL,"So sánh TD3 và DDPG trên môi trường Hopper, thuật toán nào tốt hơn?",TD3 tốt hơn vì đạt khoảng 3564.07 trong khi DDPG chỉ khoảng 2020.46.,table,comparative,7
TD3,RL,"So sánh TD3 và SAC trên môi trường Walker2d, kết quả như thế nào?",TD3 cao hơn vì đạt khoảng 4682.82 trong khi SAC chỉ khoảng 1283.67.,table,comparative,7
TD3,RL,"So sánh TD3 và TRPO trên môi trường Ant, thuật toán nào vượt trội hơn?",TD3 vượt trội hơn vì đạt khoảng 4372.44 trong khi TRPO có giá trị khoảng -75.85.,table,comparative,7
TD3,RL,"Trong phần đánh giá, phương pháp TD3 - DP hơn TD3 - CDQ trên môi trường Walker2d bao nhiêu?",Phương pháp TD3 - DP cao hơn TD3 - CDQ 2116.11 đơn vị trả về trung bình.,table,comparative,8
TD3,RL,Mục tiêu chính của bài báo TD3 là gì?,Mục tiêu là giải quyết lỗi function approximation gây overestimation trong actor critic methods.,text,fact_extraction,1
TD3,RL,"Overestimation bias là gì trong Q learning, một vấn đề mà mô hình TD3 được thiết kế để khắc phục?",Overestimation bias là hiện tượng giá trị ước lượng bị cao hơn giá trị thực do tối đa hóa trên giá trị có nhiễu.,text,fact_extraction,1
TD3,RL,"Vì sao temporal difference learning, một cơ chế được sử dụng trong TD3, gây tích lũy lỗi?",Vì mỗi cập nhật sử dụng giá trị ước lượng của trạng thái tiếp theo nên sai số bị lan truyền và tích lũy.,text,fact_extraction,5
TD3,RL,Tại sao Double DQN không hiệu quả trong các phương pháp actor-critic như TD3?,"Vì policy thay đổi chậm nên mạng hiện tại và target quá giống nhau, không giảm được bias.",text,fact_extraction,1
TD3,RL,"Trong TD3, ý tưởng chính của Clipped Double Q learning là gì?",Ý tưởng là lấy giá trị nhỏ nhất giữa 2 critic để giảm overestimation bias.,text,fact_extraction,4
TD3,RL,Tại sao paper TD3 ưu tiên underestimation hơn overestimation?,Vì hành động có giá trị thấp sẽ không được chọn nên lỗi không lan truyền.,text,fact_extraction,4
TD3,RL,Vai trò của target network trong thuật toán TD3 là gì?,Target network giúp ổn định mục tiêu học và giảm tích lũy lỗi qua các lần cập nhật.,text,fact_extraction,5
TD3,RL,Vì sao TD3 cần delayed policy updates?,Vì cập nhật policy trên giá trị có variance cao sẽ gây divergence nên cần trì hoãn để giảm lỗi.,text,fact_extraction,5
TD3,RL,TD3 được xây dựng dựa trên thuật toán nào?,TD3 được xây dựng dựa trên Deep Deterministic Policy Gradient.,text,fact_extraction,2
TD3,RL,"Vì sao trong thuật toán TD3, function approximation error là không thể tránh khỏi?",Vì mô hình học là xấp xỉ nên luôn tồn tại sai số trong việc ước lượng giá trị.,text,fact_extraction,3
MultiResUnet,CV,Bao nhiêu dataset được sử dụng để đánh giá mô hình MultiResUnet?,Có 5 dataset khác nhau được sử dụng để đánh giá mô hình.,text,summarization,8
MultiResUnet,CV,"Theo bài báo MultiResUnet, Dataset Fluorescence Microscopy có bao nhiêu ảnh?",Dataset này có 97 ảnh.,text,fact_extraction,9
MultiResUnet,CV,"Theo bài báo MultiResUnet, Dataset Fluorescence Microscopy chứa tổng cộng bao nhiêu tế bào?",Dataset chứa tổng cộng 4009 tế bào.,text,fact_extraction,9
MultiResUnet,CV,"Trong bài báo MultiResUnet, dataset Electron Microscopy có bao nhiêu ảnh?",Dataset này có 30 ảnh.,text,fact_extraction,9
MultiResUnet,CV,"Theo MultiResUnet, Dataset Dermoscopy có bao nhiêu ảnh?",Dataset này có 2594 ảnh.,text,fact_extraction,9
MultiResUnet,CV,"Trong bài báo MultiResUnet, dataset Endoscopy có bao nhiêu ảnh?",Dataset này có 612 ảnh.,text,fact_extraction,9
MultiResUnet,CV,"Trong bài báo MultiResUnet, dataset MRI gồm bao nhiêu mẫu HGG và LGG?",Dataset gồm 210 HGG và 75 LGG.,text,fact_extraction,9
MultiResUnet,CV,MultiResUnet sử dụng độ phân giải đầu vào của ảnh Fluorescence Microscopy sau resize là bao nhiêu?,Ảnh được resize về 256 nhân 256.,text,fact_extraction,9
MultiResUnet,CV,Mô hình MultiResUnet được huấn luyện trong bao nhiêu epochs?,Mô hình được huấn luyện trong 150 epochs.,text,fact_extraction,12
MultiResUnet,CV,Giá trị threshold được MultiResUnet sử dụng để tạo segmentation map là bao nhiêu?,Giá trị threshold được sử dụng là 0.5.,text,fact_extraction,12
MultiResUnet,CV,Số tham số của U-Net và MultiResUNet lần lượt là bao nhiêu?,"U-Net có 7759521 tham số, trong khi MultiResUNet có 7262750 tham số.",table,fact_extraction,11
MultiResUnet,CV,Relative improvement của MultiResUNet so với U-Net trên Endoscopy là bao nhiêu?,Relative improvement là 10.1465%.,table,fact_extraction,14
MultiResUnet,CV,Kết quả Jaccard Index của MultiResUNet cao hơn U-Net trên Dermoscopy bao nhiêu?,"MultiResUNet đạt 80.2988%, còn U-Net đạt 76.4277%. Vậy nên MultiResUNet cao hơn U-Net 3.8711%.",table,comparative,14
MultiResUnet,CV,Relative improvement của MultiResUnet trên MRI và Electron Microscopy khác nhau như thế nào?,"MRI có cải thiện 1.4104%, trong khi Electron Microscopy chỉ 0.6161%. Cải thiện trên MRI cao hơn Electron Microscopy.",table,comparative,14
MultiResUnet,CV,Mục tiêu chính của bài báo MultiResUnet là gì?,Mục tiêu là cải tiến kiến trúc U-Net và đề xuất MultiResUNet để nâng cao hiệu năng segmentation.,text,summarization,1
MultiResUnet,CV,"Theo bài báo MultiResUnet, Semantic Segmentation là gì?",Semantic Segmentation là quá trình phân vùng ảnh thành các vùng không chồng lấp để nhóm các pixel đồng nhất.,text,fact_extraction,12
MultiResUnet,CV,"Trong kiến trúc U-Net (hoặc cải tiến MultiResUNet), vai trò của skip connection là gì?",Skip connection giúp khôi phục thông tin không gian bị mất do pooling bằng cách nối encoder và decoder.,text,fact_extraction,4
MultiResUnet,CV,"Trong mô hình MultiResUnet, MultiRes block được thiết kế để giải quyết vấn đề gì?",MultiRes block được thiết kế để xử lý variation of scale trong ảnh y sinh.,text,summarization,5
MultiResUnet,CV,"Trong MultiResUnet, Res path được đề xuất nhằm giải quyết vấn đề gì?",Res path nhằm giảm semantic gap giữa feature của encoder và decoder.,text,fact_extraction,7
MultiResUnet,CV,Loss function được sử dụng trong huấn luyện của MultiResUnet là gì?,Binary cross entropy được sử dụng làm loss function.,text,fact_extraction,12
MultiResUnet,CV,"Trong bài báo/mô hình MultiResUnet, tại sao Jaccard Index được sử dụng thay vì precision hoặc recall?",Jaccard Index phản ánh tốt hơn chất lượng segmentation và tránh bị ảnh hưởng bởi background lớn.,text,fact_extraction,12
MultiResUnet,CV,MultiResUNet cải thiện hiệu năng như thế nào trên ảnh khó?,"MultiResUNet đạt cải thiện đáng kể trên ảnh có nhiễu, biên mờ và cấu trúc phức tạp.",text,fact_extraction,15
MultiResUnet,CV,Vì sao MultiResUNet hội tụ nhanh hơn U-Net?,Điều này có thể do sự kết hợp giữa residual connection và batch normalization giúp tối ưu gradient hiệu quả hơn.,text,fact_extraction,14
MultiResUnet,CV,Vì sao MultiResUNet xử lý tốt hơn các boundary mờ?,Điều này có thể do việc sử dụng nhiều kernel size trong MultiRes block giúp mô hình học đặc trưng đa tỉ lệ.,text,fact_extraction,14
MultiResUnet,CV,"Theo bài báo MultiResUNet, vì sao mô hình U-Net thông thường dễ bị over-segmentation trong một số dataset ảnh y tế?","Điều này có thể do khi region of interest chiếm đa số, mô hình có xu hướng dự đoán quá mức để giảm loss.",text,fact_extraction,14
MultiResUnet,CV,"Ở Figure 7 của bài báo MultiResUNet, output của MultiResU-Net cao hơn output của U-Net là bao nhiêu?","Output của MultiResU-Net đạt 0.9697, cao hơn 0.0019 so với U-Net với 0.9678.",image,comparative,15
MultiResUnet,CV,"Ở Hình 10 của bài báo MultiResUNet, kết quả phân vùng của MultiResU-Net cao hơn U-Net bao nhiêu lần?","Output của MultiResU-Net đạt 0.9643 và U-Net đạt 0.9317, vậy kết quả của MultiResU-Net cao hơn U-Net khoảng 1.035 lần.",image,comparative,17
MultiResUnet,CV,"Theo nghiên cứu MultiResUNet, trên kiến trúc dành cho dữ liệu 3D, mô hình U-Net thông thường có bao nhiêu tham số?",U-Net có 19078593 tham số trên kiến trúc dành cho dữ liệu 3D.,table,fact_extraction,11
MultiResUnet,CV,"Theo bài báo MultiResUNet, trên kiến trúc dành cho dữ liệu 3D, mô hình MultiResU-Net có bao nhiêu tham số?",MultiResU-Net có 18657689 tham số trên kiến trúc dành cho dữ liệu 3D.,table,fact_extraction,11
MultiResUnet,CV,"Theo công bố trong MultiResUNet, trên kiến trúc dành cho dữ liệu 3D, mô hình MultiResU-Net có số lượng tham số nhiều hơn U-Net thông thường là bao nhiêu?",MultiResU-Net hơn U-Net 420904 tham số trên kiến trúc dành cho dữ liệu 3D.,table,comparative,11
BERT,NLP,BERT là viết tắt của cụm từ nào?,Bidirectional Encoder Representations from Transformers.,text,summarization,1
BERT,NLP,"BERTBASE có bao nhiêu lớp (layers), kích thước ẩn (hidden size) và số self-attention heads?","BERTBASE có 12 layers, hidden size là 768, và 12 self-attention heads.",text,fact_extraction,3
BERT,NLP,"BERTLARGE có bao nhiêu lớp (layers), kích thước ẩn (hidden size) và số self-attention heads?","BERTLARGE có 24 layers, hidden size là 1024, và 16 self-attention heads.",text,fact_extraction,3
BERT,NLP,Kích thước lớp ẩn feed-forward của BERTBASE và BERTLARGE lần lượt là bao nhiêu?,Kích thước ẩn feed-forward là 3072 cho BERTBASE và 4096 cho BERTLARGE.,text,fact_extraction,3
BERT,NLP,BERT sử dụng bộ từ vựng WordPiece có kích thước bao nhiêu token?,"Bộ từ vựng WordPiece có kích thước 30,000 token.",text,fact_extraction,4
BERT,NLP,"Trong pre-training Masked LM của BERT, có bao nhiêu phần trăm token WordPiece được chọn ngẫu nhiên để mask?",Có 15% tổng số WordPiece tokens được chọn ngẫu nhiên để mask.,text,fact_extraction,4
BERT,NLP,"Trong task pre-training Masked LM của BERT, tỷ lệ thay thế token được chọn bằng token [MASK], token ngẫu nhiên và giữ nguyên lần lượt là bao nhiêu?","Thay thế bằng token [MASK] 80% thời gian, token ngẫu nhiên 10% thời gian, và giữ nguyên 10% thời gian.",text,fact_extraction,4
BERT,NLP,BERT pre-training sử dụng những nguồn corpus nào và số lượng từ trong đó là bao nhiêu?,"Sử dụng BooksCorpus (800 triệu từ) và English Wikipedia (2,500 triệu từ).",text,fact_extraction,5
BERT,NLP,"Theo Table 1, mô hình BERTLARGE đạt điểm trung bình bao nhiêu trên tập Test của GLUE?",BERTLARGE đạt điểm trung bình là 82.1.,table,fact_extraction,7
BERT,NLP,"Theo Table 1, so sánh điểm trung bình của BERTBASE và OpenAI GPT trên tập Test GLUE?","BERTBASE đạt 79.6 điểm trung bình, cao hơn OpenAI GPT (75.1 điểm) 4.5 điểm.",table,comparative,7
BERT,NLP,"Trong bài báo BERT, theo Bảng 1, trên tác vụ MNLI (m/mm), OpenAI GPT đạt kết quả là bao nhiêu?",OpenAI GPT đạt kết quả là 82.1/81.4.,table,fact_extraction,7
BERT,NLP,"Theo Table 2, kết quả SQuAD 1.1 F1 trên tập Test của BERTLARGE (Ens.+TriviaQA) đạt bao nhiêu?",F1 đạt 93.2.,table,fact_extraction,7
BERT,NLP,"Theo Table 2, kết quả SQuAD 1.1 F1 Test của BERTLARGE (Single) cao hơn BERTBASE (Single) bao nhiêu?","BERTLARGE (Single) đạt 90.9 F1 còn BERTBASE (Single) đạt 88.5 F1, cao hơn 2.4 F1.",table,comparative,7
BERT,NLP,"Theo Table 3, điểm SQuAD 2.0 F1 Test của BERTLARGE (Single) là bao nhiêu?",BERTLARGE (Single) đạt điểm SQuAD 2.0 F1 Test là 83.1.,table,fact_extraction,7
BERT,NLP,"Theo Table 4, độ chính xác trên tập SWAG Test của BERTLARGE cao hơn OpenAI GPT bao nhiêu?","BERTLARGE đạt 86.3% độ chính xác, cao hơn OpenAI GPT với 78.0% là 8.3%.",table,comparative,7
BERT,NLP,"Theo Table 5, điểm QNLI của BERTBASE khi có và không có NSP lần lượt là bao nhiêu?","BERTBASE đạt 88.4 khi có NSP và 84.9 khi không có NSP (""No NSP"").",table,fact_extraction,8
BERT,NLP,"Theo Table 5 trong bài báo BERT, việc loại bỏ Next Sentence Prediction (NSP) ảnh hưởng mạnh nhất đến task nào trong số các task MNLI, QNLI, MRPC, SST-2, SQuAD?","Ảnh hưởng mạnh nhất đến task QNLI, làm giảm điểm từ 88.4 xuống 84.9 (giảm 3.5 điểm).",table,comparative,8
BERT,NLP,Hai nhiệm vụ pre-training chính của BERT là gì?,Masked Language Model (MLM) và Next Sentence Prediction (NSP).,text,summarization,4
BERT,NLP,Token đặc biệt [CLS] trong cấu trúc BERT đóng vai trò gì?,[CLS] đứng ở đầu mỗi sequence và trạng thái ẩn cuối cùng của nó được dùng làm biểu diễn sequence tổng hợp cho các tác vụ phân loại.,text,summarization,4
BERT,NLP,Token đặc biệt [SEP] được dùng để làm gì trong biểu diễn đầu vào của BERT?,Token [SEP] được dùng để phân tách các câu trong một sequence (ví dụ phân tách câu hỏi và câu trả lời).,text,summarization,4
BERT,NLP,Kích thước batch size và số epoch mặc định khi fine-tuning BERT trên SQuAD 1.1 là bao nhiêu?,Batch size là 32 và fine-tune trong 3 epochs.,text,fact_extraction,7
BERT,NLP,"Trong quá trình pre-training, BERT sử dụng thuật toán tối ưu nào và các tham số beta1, beta2 là bao nhiêu?","BERT sử dụng Adam với learning rate 1e-4, beta1 = 0.9, beta2 = 0.999.",text,fact_extraction,13
BERT,NLP,BERT pre-training được thực hiện trong bao nhiêu steps và tương đương với bao nhiêu epochs trên corpus?,"Pre-training được thực hiện trong 1,000,000 steps, tương đương khoảng 40 epochs trên corpus 3.3 tỷ từ.",text,fact_extraction,13
BERT,NLP,Hàm kích hoạt (activation function) nào được sử dụng trong BERT thay cho ReLU tiêu chuẩn?,Sử dụng GELU activation (Gaussian Error Linear Unit).,text,fact_extraction,13
BERT,NLP,"Trong fine-tuning mô hình BERT, các giá trị learning rate khuyên dùng cho Adam là bao nhiêu?","Các giá trị learning rate khuyên dùng là 5e-5, 3e-5, và 2e-5.",text,fact_extraction,14
TransUNet,CV,TransUNet là framework thiết kế cho bài toán nào?,Thiết kế cho bài toán phân vùng ảnh y tế (medical image segmentation).,text,summarization,1
TransUNet,CV,"Theo bài báo TransUNet, hạn chế chính của mô hình U-Net trong phân vùng ảnh y tế là gì?",U-Net gặp hạn chế trong việc mô tả rõ ràng các mối quan hệ phụ thuộc tầm xa (long-range dependency) do tính cục bộ của các phép toán convolution.,text,summarization,1
TransUNet,CV,Tại sao việc sử dụng Transformer trực tiếp kết hợp naive upsampling (không qua decoder U-Net) lại cho kết quả phân vùng thô ráp?,"Vì Transformer coi đầu vào là chuỗi 1D nên chỉ tập trung học ngữ cảnh toàn cục, dẫn đến các đặc trưng có độ phân giải thấp và thiếu thông tin định vị chi tiết.",text,summarization,2
TransUNet,CV,TransUNet giải quyết sự mất mát độ phân giải đặc trưng của Transformer bằng cách nào?,TransUNet sử dụng kiến trúc hybrid CNN-Transformer để làm encoder và một bộ cascade upsampler kết hợp với skip-connection để khôi phục chi tiết không gian.,text,summarization,2
TransUNet,CV,"Theo bài báo TransUNet, Synapse multi-organ segmentation dataset gồm bao nhiêu ca CT scan ổ bụng và tổng cộng bao nhiêu ảnh axial CT?",Gồm 30 ca CT scan ổ bụng với tổng cộng 3779 ảnh axial CT.,text,fact_extraction,5
TransUNet,CV,"Theo bài báo TransUNet, mỗi ca CT trong tập Synapse gồm bao nhiêu slices và độ phân giải mỗi slice là bao nhiêu?",Gồm 85 đến 198 slices với độ phân giải 512 x 512 pixels.,text,fact_extraction,5
TransUNet,CV,"Trong bài báo TransUNet, khi phân chia dữ liệu tập Synapse, có bao nhiêu ca được dùng làm tập train và bao nhiêu ca được dùng để validation?",Có 18 ca dùng cho training và 12 ca dùng cho validation.,text,fact_extraction,6
TransUNet,CV,"Theo bài báo TransUNet, trên tập dữ liệu Synapse, 8 cơ quan được đánh giá là những cơ quan nào?","Aorta, gallbladder, spleen, left kidney, right kidney, liver, pancreas, stomach.",text,fact_extraction,5
TransUNet,CV,"Theo bài báo TransUNet, ACDC dataset gồm bao nhiêu ca training, validation và testing?","Gồm 70 ca training, 10 ca validation và 20 ca testing.",text,fact_extraction,6
TransUNet,CV,"Theo bài báo TransUNet, ba cấu trúc giải phẫu tim được gán nhãn trong tập ACDC là gì?","Left ventricle (LV), right ventricle (RV) và myocardium (MYO).",text,fact_extraction,6
TransUNet,CV,"Theo Table 1, độ Hausdorﬀ Distance (HD) trung bình của TransUNet trên tập Synapse là bao nhiêu?",Độ HD trung bình là 31.69 mm.,table,fact_extraction,6
TransUNet,CV,"Theo Bảng 1 của bài báo TransUNet, framework nào đạt điểm Dice (DSC) trung bình cao nhì trên tập Synapse?",R50 AttnUNet đạt điểm cao nhì với 75.57%.,table,comparative,6
TransUNet,CV,"Theo Table 1, điểm DSC trung bình của TransUNet cao hơn R50 U-Net bao nhiêu phần trăm?","TransUNet đạt 77.48% còn R50 U-Net đạt 74.68%, cao hơn 2.80%.",table,comparative,6
TransUNet,CV,"Theo Table 1, so sánh điểm Dice trên cơ quan Gallbladder của TransUNet và V-Net?","TransUNet đạt 63.13% còn V-Net đạt 51.87%, TransUNet cao hơn V-Net 11.26%.",table,comparative,6
TransUNet,CV,"Trong cấu hình hybrid encoder, TransUNet kết hợp mô hình ResNet nào với ViT?",Kết hợp ResNet-50 (R50) và ViT.,text,fact_extraction,6
TransUNet,CV,Kích thước đầu vào và patch size mặc định của TransUNet là bao nhiêu?,Kích thước đầu vào là 224x224 và patch size P = 16.,text,fact_extraction,6
TransUNet,CV,Optimizer và learning rate mặc định để huấn luyện TransUNet là gì?,SGD optimizer với learning rate 0.01.,text,fact_extraction,6
TransUNet,CV,Số lượng training iterations mặc định của mô hình TransUNet cho ACDC và Synapse dataset lần lượt là bao nhiêu?,20k iterations cho ACDC và 14k iterations cho Synapse.,text,fact_extraction,6
TransUNet,CV,"Theo Table 2, khi tăng độ phân giải đầu vào từ 224 lên 512, Average DSC của TransUNet thay đổi như thế nào?",Average DSC tăng từ 77.48% lên 84.36% (tăng 6.88%).,table,comparative,9
TransUNet,CV,"Theo Table 2 của bài báo TransUNet, ở độ phân giải 512x512, cơ quan nào đạt điểm Dice cao nhất và bao nhiêu?",Liver đạt điểm Dice cao nhất với 95.54%.,table,comparative,9
TransUNet,CV,"Trong bài báo TransUNet, theo Table 3, khi patch size giảm từ 32 xuống 16 và 8, Average DSC thay đổi như thế nào?",Average DSC tăng từ 76.99% (patch size 32) lên 77.48% (patch size 16) và đạt 77.83% (patch size 8).,table,comparative,9
TransUNet,CV,"Theo Table 3, sequence length của Transformer tương ứng với patch size 32, 16 và 8 lần lượt là bao nhiêu?","Lần lượt là 49 (patch 32), 196 (patch 16) và 784 (patch 8).",table,fact_extraction,9
TransUNet,CV,"Cấu hình ""Base"" và ""Large"" của TransUNet có số layer và kích thước ẩn (hidden size D) lần lượt là bao nhiêu?","Cấu hình Base có 12 layers, hidden size 768; cấu hình Large có 24 layers, hidden size 1024.",text,fact_extraction,9
TransUNet,CV,"Theo Table 4, Average DSC của TransUNet Large vượt trội hơn bản Base bao nhiêu phần trăm?","Bản Large đạt 78.52% còn bản Base đạt 77.48%, vượt trội hơn 1.04%.",table,comparative,9
